hidden_layer_1,hidden_layer_2,learning_rate,beta,epsilon_multiplier,epsilon,number_of_clusters,number_of_outliers,outlier_percentage,smallest_cluster_size,silhouette_score,davies_bouldin_index,calinski_harabasz_index,valid_model,silhouette_rank,davies_bouldin_rank,calinski_harabasz_rank,combined_rank
128,64,0.0002,0.2,0.8,0.12480386022170636,14,158,2.010433897442423,84,0.9123363494873047,0.2013749515834023,204659.88268151443,True,75.0,48.0,65.0,188.0
128,64,0.0002,0.2,0.9,0.14040434274941965,15,106,1.3487721084107391,51,0.9123899936676025,0.19735341049001592,196354.6514185287,True,73.0,45.0,71.0,189.0
128,64,0.0002,0.2,1.0,0.15600482527713294,15,106,1.3487721084107391,51,0.9123899936676025,0.19735341049001595,196354.6514185287,True,73.0,46.0,71.0,190.0
128,64,0.0001,0.1,0.9,0.11052188738496765,14,170,2.1631250795266572,85,0.9015259742736816,0.1610648564037463,173617.86068511507,True,92.0,17.0,82.0,191.0
256,128,0.0006,0.2,0.9,0.12302302872230715,21,34,0.4326250159053315,98,0.924521267414093,0.28602427087255555,265131.13272177783,True,41.0,105.0,48.0,194.0
256,128,0.0006,0.2,1.0,0.13669225413589683,21,34,0.4326250159053315,98,0.924521267414093,0.28602427087255555,265131.13272177783,True,41.0,105.0,48.0,194.0
128,64,0.0004,0.15,1.0,0.1949885733037502,20,122,1.5523603511897188,51,0.9144755601882935,0.2032363005780117,180457.78352254804,True,65.0,53.0,77.0,195.0
128,64,0.0004,0.15,0.9,0.17548971597337518,20,122,1.5523603511897188,51,0.9144755601882935,0.2032363005780117,180457.78352254798,True,65.0,53.0,78.0,196.0
128,64,0.0001,0.1,1.0,0.12280209709440851,14,163,2.074055223310854,85,0.9010960459709167,0.16155544780503467,172350.5625715103,True,94.0,18.0,84.0,196.0
128,64,0.0006,0.25,0.8,0.21670666860448168,18,220,2.7993383382109682,51,0.9207713603973389,0.2687316469027785,238349.99638328006,True,56.0,92.0,57.0,205.0
128,64,0.0005,0.25,0.9,0.2209940255560816,17,139,1.7686728591423846,54,0.9211923480033875,0.2581099315666317,197014.6396916545,True,52.0,87.0,70.0,209.0
256,128,0.0005,0.25,0.8,0.19205875385742152,17,133,1.692327268100267,66,0.9295153021812439,0.29509219378663143,216408.17639177956,True,30.0,119.0,61.0,210.0
256,128,0.0001,0.2,0.9,0.0621282776497577,13,145,1.8450184501845017,52,0.8985812664031982,0.19270751238865647,173333.31132456142,True,96.0,41.0,83.0,220.0
128,64,0.0004,0.25,0.9,0.1779456804301048,16,46,0.5853161979895661,94,0.9144231677055359,0.2583527267844402,204134.29183972452,True,67.0,88.0,66.0,221.0
256,128,0.0004,0.2,0.8,0.15347004470479245,20,88,1.1197353352843875,58,0.910695493221283,0.23265879107591125,181438.87574509674,True,76.0,72.0,76.0,224.0
256,128,0.0002,0.25,1.0,0.1418744863707901,16,0,0.0,72,0.9134424328804016,0.28765440464351644,273033.80322068854,True,69.0,111.0,46.0,226.0
128,64,0.0004,0.25,1.0,0.19771742270011644,16,40,0.5089706069474488,94,0.9134494066238403,0.26156457055809496,198468.3096876651,True,68.0,90.0,69.0,227.0
128,64,0.0009,0.25,0.8,0.2477505366291236,16,41,0.521694872121135,85,0.9210138320922852,0.27752304927823024,187879.46891920394,True,53.0,100.0,75.0,228.0
256,128,0.0001,0.2,1.0,0.06903141961084189,13,121,1.5396360860160325,52,0.8972775936126709,0.1976999868676222,171755.6494476755,True,98.0,47.0,86.0,231.0
128,64,0.0003,0.2,0.9,0.1971285363519691,16,92,1.1706323959791323,56,0.9046472907066345,0.24135716795173096,193505.44649057763,True,82.0,78.0,73.0,233.0
128,64,0.0001,0.25,0.8,0.06631008088884187,12,71,0.9034228273317216,55,0.8716865181922913,0.21076156854862113,208727.30437971585,True,115.0,57.0,63.0,235.0
256,128,0.0009,0.2,1.0,0.18770848175974966,22,144,1.8322941850108156,51,0.9208139181137085,0.296735090681314,217120.67257337092,True,55.0,121.0,60.0,236.0
128,64,0.0002,0.15,0.8,0.11726374803956006,14,243,3.0919964372057516,94,0.894965648651123,0.195721954295552,147581.23539504842,True,102.0,44.0,94.0,240.0
128,64,0.0001,0.25,0.9,0.07459884099994711,12,40,0.5089706069474488,68,0.8706285357475281,0.21575613340268432,206472.7487494442,True,116.0,63.0,64.0,243.0
256,128,0.001,0.25,1.0,0.2265461695284529,15,199,2.532128769563558,51,0.927509605884552,0.300423591351774,171993.10884520324,True,35.0,125.0,85.0,245.0
128,64,0.0003,0.25,0.9,0.1224242262312846,15,127,1.6159816770581499,51,0.9012048840522766,0.23987958983344687,177373.04587099908,True,93.0,76.0,79.0,248.0
128,64,0.0001,0.25,1.0,0.08288760111105234,12,24,0.30538236416846926,69,0.8696734309196472,0.21800004045995,203299.20078125258,True,118.0,64.0,67.0,249.0
128,64,0.0005,0.25,1.0,0.24554891728453512,17,63,0.8016287059422318,59,0.9149224162101746,0.273510243983427,165790.83531034493,True,64.0,96.0,90.0,250.0
128,64,0.0007,0.25,0.9,0.18573322806308865,15,113,1.4378419646265428,51,0.9133979082107544,0.26952343966803144,166601.80649239846,True,70.0,93.0,87.0,250.0
128,64,0.0007,0.25,1.0,0.20637025340343182,15,112,1.4251176994528567,51,0.9132844805717468,0.2695772938516701,166109.94803771767,True,71.0,94.0,88.0,253.0
256,128,0.001,0.2,0.8,0.1744866305107381,19,127,1.6159816770581499,70,0.9127792119979858,0.29034652036475506,202172.7716708917,True,72.0,114.0,68.0,254.0
256,128,0.0004,0.2,0.9,0.1726538002928915,20,35,0.4453492810790177,59,0.9060316681861877,0.27421479473283655,174480.97464150516,True,80.0,97.0,81.0,258.0
128,64,0.0002,0.15,0.9,0.13192171654450507,16,137,1.7432243287950122,50,0.8936098217964172,0.21199575891629335,134920.96123579858,True,104.0,58.0,97.0,259.0
256,128,0.0001,0.2,0.8,0.055225135688673516,14,176,2.239470670568775,51,0.8957875967025757,0.22334041269981672,164068.97089457666,True,99.0,69.0,92.0,260.0
