hidden_1,hidden_2,learning_rate,beta,batch_size,epochs,epsilon,min_samples,clusters,outliers,outlier_percentage,silhouette,dbi,chi,cluster_error,silhouette_error,dbi_error,chi_error,matching_error
32,16,0.0002,0.001,128,50,0.6,90,5,28,0.36610878661087864,0.6427955031394958,0.6080363432706246,21000.89556700503,0.5833333333333334,0.2777578616410159,2.2001912803717083,0.8485198527401299,0.9774505820215469
32,16,0.0002,0.001,128,50,0.6,100,5,36,0.47071129707112974,0.644974410533905,0.6051065060648385,21013.697817195316,0.5833333333333334,0.2753096510855,2.1847710845517816,0.8484275096903826,0.9729603946652494
32,16,0.0002,0.001,128,50,0.65,10,3,1,0.01307531380753138,0.5988954305648804,0.6231793583000561,16251.390034009288,0.75,0.3270837858821569,2.2798913594739796,0.8827781916406916,1.059938334249207
32,16,0.0002,0.001,128,50,0.65,20,3,2,0.02615062761506276,0.5981562733650208,0.6235478364625533,16290.550946244013,0.75,0.32791429958986434,2.2818307182239645,0.8824957226986783,1.0605601851281268
32,16,0.0002,0.001,128,50,0.65,30,4,5,0.0653765690376569,0.5973445773124695,0.6298186267177666,11833.39724845116,0.6666666666666666,0.32882631762643877,2.314834877461929,0.9146453182407993,1.0562432949989584
32,16,0.0002,0.001,128,50,0.65,40,4,6,0.07845188284518828,0.5960142612457275,0.6287503391470044,11827.83957704357,0.6666666666666666,0.33032105478008145,2.309212311300023,0.9146854059066113,1.0552213596633455
32,16,0.0002,0.001,128,50,0.65,50,4,7,0.09152719665271966,0.6048011779785156,0.6277773146741814,11836.303504820113,0.6666666666666666,0.32044811463088135,2.3040911298641125,0.914624355318464,1.0514575666200312
32,16,0.0002,0.001,128,50,0.65,60,5,11,0.14382845188284518,0.6323218941688538,0.6161703102928808,20677.501917289355,0.5833333333333334,0.2895259616080295,2.2430016331204254,0.8508525017229097,0.9916783574461745
32,16,0.0002,0.001,128,50,0.65,70,5,12,0.15690376569037656,0.6324634552001953,0.6153978005958564,20715.985514804554,0.5833333333333334,0.2893669042694435,2.2389357926097704,0.8505749182741423,0.9905527371216724
32,16,0.0002,0.001,128,50,0.65,80,5,19,0.24843096234309622,0.6357011795043945,0.6116386661036011,20849.47220348525,0.5833333333333334,0.2857290117928151,2.2191508742294794,0.849612074418552,0.9844563234435451
32,16,0.0002,0.001,128,50,0.65,90,5,19,0.24843096234309622,0.6357011795043945,0.6116386661036011,20849.47220348525,0.5833333333333334,0.2857290117928151,2.2191508742294794,0.849612074418552,0.9844563234435451
32,16,0.0002,0.001,128,50,0.65,100,5,24,0.3138075313807531,0.6338789463043213,0.6097526722911263,20919.848940310007,0.5833333333333334,0.2877764648266053,2.2092245910059276,0.8491044447118155,0.9823597084694204
32,16,0.0002,0.001,128,50,0.7,20,2,2,0.02615062761506276,0.6833785176277161,0.4923832906925172,23143.915323188474,0.8333333333333334,0.23215896895762242,1.5914910036448273,0.8330621810798078,0.8725113717538977
