hidden_layer_1,hidden_layer_2,learning_rate,beta,epsilon_multiplier,epsilon,number_of_clusters,number_of_outliers,outlier_percentage,smallest_cluster_size
256,128,0.0002,0.2,0.8,0.04315537924295274,19,292,3.715485430716376,51
256,128,0.0002,0.2,0.9,0.04854980164832184,19,270,3.4355515968952797,51
256,128,0.0002,0.2,1.0,0.053944224053690926,19,252,3.206514823768927,51
256,128,0.0002,0.25,0.8,0.11349958909663208,16,105,1.336047843237053,52
256,128,0.0002,0.25,0.9,0.1276870377337111,17,15,0.1908639776052933,57
256,128,0.0002,0.25,1.0,0.1418744863707901,16,0,0.0,72
256,128,0.0003,0.01,0.8,0.5138812921107441,6,138,1.7559485939686985,51
256,128,0.0003,0.01,0.9,0.5781164536245871,5,111,1.4123934342791704,54
256,128,0.0003,0.01,1.0,0.6423516151384301,2,87,1.107011070110701,62
256,128,0.0003,0.05,0.8,0.33162918294314875,5,40,0.5089706069474488,70
256,128,0.0003,0.05,0.9,0.3730828308110423,3,23,0.29265809899478307,70
256,128,0.0003,0.05,1.0,0.4145364786789359,3,3,0.03817279552105866,70
256,128,0.0003,0.1,0.8,0.16521841499877876,24,106,1.3487721084107391,55
256,128,0.0003,0.1,0.9,0.1858707168736261,22,95,1.2088051915001907,55
256,128,0.0003,0.1,1.0,0.20652301874847345,21,40,0.5089706069474488,55
256,128,0.0003,0.15,0.8,0.21232928863384318,17,32,0.407176485557959,63
256,128,0.0003,0.15,0.9,0.23887044971307358,15,0,0.0,150
256,128,0.0003,0.15,1.0,0.26541161079230396,15,0,0.0,150
256,128,0.0003,0.2,0.8,0.0650572872869591,24,120,1.5269118208423464,51
256,128,0.0003,0.2,0.9,0.073189448197829,24,112,1.4251176994528567,51
256,128,0.0003,0.2,1.0,0.08132160910869887,24,108,1.3742206387581117,51
256,128,0.0003,0.25,0.8,0.05140598841009036,22,227,2.8884081944267717,51
256,128,0.0003,0.25,0.9,0.057831736961351646,22,213,2.710268481995165,51
256,128,0.0003,0.25,1.0,0.06425748551261294,23,117,1.4887390253212875,51
256,128,0.0004,0.01,0.8,0.6943893888540887,1,27,0.34355515968952793,7832
256,128,0.0004,0.01,0.9,0.7811880624608498,1,0,0.0,7859
