hidden_layer_1,hidden_layer_2,learning_rate,beta,epsilon_multiplier,epsilon,silhouette_score,davies_bouldin_index,calinski_harabasz_index
128,64,0.0009,0.1,0.8,0.511078032588569,0.15085220336914062,0.617796348318971,751.349041478999
128,64,0.0009,0.1,0.9,0.5749627866621401,0.2849942743778229,0.55102620288502,1054.0582937473764
128,64,0.0009,0.1,1.0,0.6388475407357112,0.27524319291114807,0.6059235655444233,859.1433310919895
128,64,0.0009,0.15,0.8,0.2699409141702889,0.8372013568878174,0.3958591938050904,35987.553317205675
128,64,0.0009,0.15,0.9,0.30368352844157503,0.8138881325721741,0.47306328597260944,34209.70444343796
128,64,0.0009,0.15,1.0,0.33742614271286114,0.6848059296607971,0.5136582224821896,10833.220415426586
128,64,0.0009,0.2,0.8,0.38043858250308915,0.874352753162384,0.38797044128961855,47759.016190689385
128,64,0.0009,0.2,0.9,0.42799340531597524,0.8352667689323425,0.49781118914390954,27728.875897027727
128,64,0.0009,0.2,1.0,0.4755482281288614,0.7918697595596313,0.5758961422681208,17792.64710833249
128,64,0.0009,0.25,0.8,0.2477505366291236,0.9210138320922852,0.27752304927823024,187879.46891920394
128,64,0.0009,0.25,0.9,0.278719353707764,0.8952430486679077,0.3306672343602246,83280.93747739852
128,64,0.0009,0.25,1.0,0.3096881707864045,0.8889089822769165,0.3676739828504875,66558.8696521865
128,64,0.001,0.01,0.8,0.4641938397035672,0.2620169520378113,0.550151086381244,521.7139981320067
128,64,0.001,0.01,0.9,0.5222180696665131,0.4163779616355896,0.5190798687165212,374.74556891974197
128,64,0.001,0.01,1.0,0.580242299629459,0.41658514738082886,0.5064083289337018,353.5047576907559
128,64,0.001,0.05,0.8,0.41411806180717553,0.2146006077528,0.6066632332052392,888.8962504258004
128,64,0.001,0.05,0.9,0.4658828195330724,,,
128,64,0.001,0.05,1.0,0.5176475772589694,,,
128,64,0.001,0.1,0.8,0.2563241272866496,0.6382980942726135,0.49062526777840487,8053.175308127831
128,64,0.001,0.1,0.9,0.28836464319748084,0.5758447051048279,0.5949379506038001,6973.046984515449
128,64,0.001,0.1,1.0,0.320405159108312,0.5591887831687927,0.6073564782572564,6871.044431372599
128,64,0.001,0.15,0.8,0.2003879289412391,0.8248070478439331,0.23094850328314803,35952.426990904685
128,64,0.001,0.15,0.9,0.22543642005889397,0.8227600455284119,0.2612326437891622,34259.422790378405
128,64,0.001,0.15,1.0,0.25048491117654886,0.817920446395874,0.2884763850131971,33666.26606585498
128,64,0.001,0.2,0.8,0.46914019415459607,0.8697007894515991,0.4153365070169626,38053.85382411319
128,64,0.001,0.2,0.9,0.5277827184239205,0.7247244715690613,0.5251442792059371,9973.608972432268
128,64,0.001,0.2,1.0,0.586425242693245,0.6923924088478088,0.5590189248143828,8506.154392108312
128,64,0.001,0.25,0.8,0.2811242037106645,0.8100882172584534,0.4926752949078959,29748.65305465473
128,64,0.001,0.25,0.9,0.31626472917449755,0.7876689434051514,0.4356604316379802,23573.864051214903
128,64,0.001,0.25,1.0,0.3514052546383306,0.6738817095756531,0.5711620619584246,11789.713154383899
256,128,0.0001,0.01,0.8,0.6621212457849297,0.39021024107933044,0.7170297881593299,1123.0398481792436
256,128,0.0001,0.01,0.9,0.744886401508046,0.4623371362686157,0.6110276267685828,1235.5215014195917
256,128,0.0001,0.01,1.0,0.8276515572311621,,,
256,128,0.0001,0.05,0.8,0.28533287516333394,0.5994666814804077,0.4413064222673175,7674.925086035489
256,128,0.0001,0.05,0.9,0.3209994845587507,0.6026229858398438,0.503645979821992,7496.300980845145
256,128,0.0001,0.05,1.0,0.35666609395416743,0.5593470335006714,0.5738923922770645,6132.804572955594
