perplexity,epsilon,min_samples,clusters,outliers,outlier_percentage,silhouette,dbi,chi,cluster_error,silhouette_error,dbi_error,chi_error,matching_error
20,6.0,30,29,177,2.314330543933054,0.475184828042984,0.4159182335150215,3203.0546512479464,0.3181818181818182,0.2907689133686806,0.663672934060086,0.6265395331709614,0.4747907996953865
20,6.0,40,23,393,5.1385983263598325,0.4768657088279724,0.4154781896687258,3885.952386116971,0.045454545454545456,0.28826013607765316,0.6619127586749032,0.5469170057310022,0.38563611148452603
20,6.0,50,22,519,6.786087866108787,0.5007635354995728,0.39441820634403707,3980.50915929272,0.0,0.25259173806033924,0.5776728253761483,0.5358921496180088,0.3415391782636241
20,6.0,60,19,693,9.061192468619247,0.5042369365692139,0.3956529221405168,4486.4541393062655,0.13636363636363635,0.24740755735938233,0.5826116885620671,0.4769014457434902,0.360821082007144
20,6.0,70,16,926,12.107740585774058,0.5097867250442505,0.3999368080866512,5089.966529946609,0.2727272727272727,0.23912429097873067,0.5997472323466049,0.406534860191215,0.37953341406095575
20,6.0,80,16,994,12.996861924686193,0.5085657238960266,0.39892171297051426,5131.620491058512,0.2727272727272727,0.24094668075219913,0.5956868518820571,0.40167821256702624,0.3777597544821388
20,6.0,90,14,1455,19.02458158995816,0.5319707989692688,0.39561190507169003,5960.058943058006,0.36363636363636365,0.2060137328816884,0.5824476202867601,0.3050863511380258,0.36429601698570946
20,6.0,100,16,1875,24.51621338912134,0.47209393978118896,0.4555116632669337,6335.825833677634,0.2727272727272727,0.29538217943106126,0.8220466530677348,0.26127377418588826,0.4128574698529893
20,6.5,10,31,8,0.10460251046025104,0.4711092710494995,0.4995155176275019,3041.5852470388754,0.4090909090909091,0.29685183425447836,0.9980620705100076,0.6453660739703924,0.5873427219564469
20,6.5,20,30,64,0.8368200836820083,0.4750559628009796,0.44683129432037155,3123.47136379077,0.36363636363636365,0.29096124955077673,0.7873251772814862,0.6358185542685151,0.5194353361842854
20,6.5,30,29,151,1.9743723849372385,0.4829978942871094,0.42101139435919344,3223.172057216657,0.3181818181818182,0.279107620467001,0.6840455774367737,0.6241939422764894,0.4763822395905206
20,6.5,40,23,379,4.955543933054393,0.4787936508655548,0.4187818332525877,3892.299348298306,0.045454545454545456,0.2853826106484257,0.6751273330103509,0.546176981061656,0.38803536754374446
20,6.5,50,22,509,6.6553347280334725,0.48953256011009216,0.3965934829498773,3988.1541093314554,0.0,0.26935438789538485,0.5863739317995091,0.5350007859289009,0.34768227640594873
20,6.5,60,21,564,7.374476987447699,0.4897354543209076,0.3961353437409947,4139.892252007264,0.045454545454545456,0.26905156071506336,0.5845413749639787,0.5173088625090491,0.35408908591065913
20,6.5,70,17,824,10.774058577405858,0.49689844250679016,0.4041359792843652,4779.463239682526,0.22727272727272727,0.25836053357195504,0.6165439171374607,0.4427380213482677,0.38622879983260267
20,6.5,80,16,898,11.74163179916318,0.5093391537666321,0.4008080811165403,5056.051488190917,0.2727272727272727,0.23979230781099695,0.6032323244661613,0.4104891877646369,0.38156027319226693
20,6.5,90,14,1113,14.552824267782427,0.510435938835144,0.40458133996363493,5530.844763291298,0.36363636363636365,0.23815531517142685,0.6183253598545397,0.3551306199371439,0.39381191464986853
20,6.5,100,14,1259,16.461820083682007,0.5216387510299683,0.4006623071334727,5686.059160612006,0.36363636363636365,0.2214346999552713,0.6026492285338907,0.3370333822707821,0.38118841859907693
20,7.0,10,27,0,0.0,0.4505085051059723,0.5058203475466354,3328.115255640863,0.22727272727272727,0.3275992461104892,1.0232813901865416,0.611958079907183,0.5475278608692353
20,7.0,20,27,40,0.5230125523012552,0.47544828057289124,0.5313135044656676,3369.970571545464,0.22727272727272727,0.2903757006374758,1.1252540178626704,0.6070779553014667,0.5624951002685851
20,7.0,30,28,86,1.1244769874476988,0.4773767590522766,0.4786178242279134,3330.2805140812916,0.2727272727272727,0.28749737454884094,0.9144712969116535,0.6117056213899195,0.5216003913944216
20,7.0,40,23,253,3.3080543933054396,0.4875738322734833,0.46218928991633595,3946.1760213901453,0.045454545454545456,0.2722778622783832,0.8487571596653438,0.5398952251521105,0.42659619813759575
20,7.0,50,24,313,4.0925732217573225,0.4766613245010376,0.4216587538040464,3780.830140358152,0.09090909090909091,0.28856518731188424,0.6866350152161855,0.5591737441416034,0.40632075939469103
20,7.0,60,21,547,7.152196652719665,0.4940923750400543,0.39871195035806956,4150.810793682207,0.045454545454545456,0.26254869397006825,0.5948478014322782,0.5160358140865291,0.35472171373585526
20,7.0,70,17,808,10.564853556485355,0.5016212463378906,0.40546878844275286,4783.867781160829,0.22727272727272727,0.251311572630014,0.6218751537710114,0.4422244734086427,0.38567098177059883
