n_neighbors,min_dist,epsilon,min_samples,clusters,outliers,outlier_percentage,silhouette,dbi,chi,cluster_error,silhouette_error,dbi_error,chi_error,matching_error
10,0.1,0.4,10,47,22,0.28765690376569036,0.8551115393638611,0.10688720727736267,26920.367218241205,1.1363636363636365,0.017989927814120375,0.18763563641514086,0.5052606283758343,0.461812457242183
10,0.1,0.4,20,34,207,2.706589958158996,0.8595749735832214,0.09920594758493656,34811.968668970054,0.5454545454545454,0.023303539980025555,0.10228830649929516,0.3602296965467764,0.2578190221201606
10,0.1,0.4,30,25,407,5.3216527196652725,0.8607607483863831,0.10879462528062814,43749.475490401885,0.13636363636363635,0.02471517665045606,0.20882916978475713,0.1959772376974886,0.1414713051240845
10,0.1,0.4,40,24,438,5.726987447698745,0.8710362315177917,0.10686211102054255,45454.293259662154,0.09090909090909091,0.036947894664037834,0.1873567891171395,0.16464629540164863,0.11996501752297922
10,0.1,0.4,50,22,522,6.82531380753138,0.8711956739425659,0.10907356452293847,48605.45979223565,0.0,0.03713770707448327,0.21192849469931635,0.1067345240810802,0.08895018146371995
10,0.1,0.4,60,19,691,9.035041841004183,0.8734771609306335,0.11025327753807997,52801.70556876763,0.13636363636363635,0.03985376301265902,0.22503641708977745,0.029616408201321078,0.10771755616684847
10,0.1,0.4,70,16,889,11.623953974895397,0.8752965927124023,0.11242798564686479,59764.92801629865,0.2727272727272727,0.042019753229050445,0.24919984052071995,0.09835288249380975,0.16557493724271322
10,0.1,0.4,80,15,970,12.68305439330544,0.8753666281700134,0.11296070250386094,61773.61480066795,0.3181818181818182,0.04210312877382555,0.255118916709566,0.1352682941385385,0.18766803945093705
10,0.1,0.4,90,15,1115,14.57897489539749,0.6943445801734924,0.18321027985269678,62826.40165651568,0.3181818181818182,0.17339930931727088,1.0356697761410754,0.15461628829083798,0.4204667979827506
10,0.1,0.4,100,14,1239,16.20031380753138,0.8778150677680969,0.11346767921191425,66550.64809071475,0.36363636363636365,0.045017937819163044,0.26075199124349174,0.22306005526072878,0.2231165869899368
10,0.1,0.45,10,47,22,0.28765690376569036,0.8551115393638611,0.10688720727736267,26920.367218241205,1.1363636363636365,0.017989927814120375,0.18763563641514086,0.5052606283758343,0.461812457242183
10,0.1,0.45,20,34,207,2.706589958158996,0.8595749735832214,0.09920594758493656,34811.968668970054,0.5454545454545454,0.023303539980025555,0.10228830649929516,0.3602296965467764,0.2578190221201606
10,0.1,0.45,30,25,407,5.3216527196652725,0.8607607483863831,0.10879462528062814,43749.475490401885,0.13636363636363635,0.02471517665045606,0.20882916978475713,0.1959772376974886,0.1414713051240845
10,0.1,0.45,40,24,438,5.726987447698745,0.8710362315177917,0.10686211102054255,45454.293259662154,0.09090909090909091,0.036947894664037834,0.1873567891171395,0.16464629540164863,0.11996501752297922
10,0.1,0.45,50,22,522,6.82531380753138,0.8711956739425659,0.10907356452293847,48605.45979223565,0.0,0.03713770707448327,0.21192849469931635,0.1067345240810802,0.08895018146371995
10,0.1,0.45,60,19,691,9.035041841004183,0.8734771609306335,0.11025327753807997,52801.70556876763,0.13636363636363635,0.03985376301265902,0.22503641708977745,0.029616408201321078,0.10771755616684847
10,0.1,0.45,70,16,887,11.597803347280335,0.8743066191673279,0.1124330611257266,59749.84448807516,0.2727272727272727,0.04084121329443799,0.24925623473029557,0.0980756791698482,0.1652250999804636
10,0.1,0.45,80,15,962,12.578451882845187,0.8757150173187256,0.112983220000713,61706.51627826401,0.3181818181818182,0.042517877760387644,0.2553691111190333,0.13403516531299478,0.18752599309355847
